gene-LOC124210573	GO:0016021
gene-LOC124200137	GO:0016758,GO:0006486,GO:0016021,GO:0000139
gene-LOC124200005	GO:0000124,GO:0071819,GO:0003713,GO:0008270,GO:0006325,GO:0006357,GO:0016578,GO:0045893
gene-LOC124200391	GO:0000050,GO:0005829,GO:0004053,GO:0030145,GO:0019547
gene-LOC124200214	GO:0003723
gene-LOC124199416	GO:0046872,GO:0043951,GO:0004115
gene-LOC124199798	GO:0003951,GO:0047620,GO:0005739,GO:0016020,GO:0046513,GO:0004143,GO:0001729,GO:0046834
gene-LOC124199567	GO:0016021,GO:0004252,GO:0006508
gene-LOC124200833	GO:0008173,GO:0001510,GO:0008171,GO:0005737,GO:2000632,GO:0010586
gene-LOC124200551	GO:0016021
gene-LOC124199878	GO:0008235,GO:0016740,GO:0006508
gene-LOC124200471	GO:0000139,GO:0016021,GO:0008146
gene-LOC124199724	GO:0005832,GO:0005524,GO:0016887,GO:0051082,GO:0006457
gene-LOC124190207	GO:0071482,GO:0005887,GO:0007186,GO:0009584,GO:0008020,GO:0018298,GO:0007601,GO:0007602
gene-LOC124190270	GO:0005778,GO:0005515,GO:0016560,GO:0016021,GO:1990429
gene-LOC124209093	GO:0005634,GO:0000981,GO:0003677,GO:0006357,GO:0007601,GO:0050896
gene-LOC124198333	GO:0005576,GO:0005887,GO:0009986,GO:0030427,GO:0005034,GO:0006972,GO:0007232,GO:0030010
gene-LOC124200533	GO:0016021
gene-LOC124200547	GO:0005509,GO:0008597,GO:0050790
gene-LOC124200521	GO:0016021,GO:0005515,GO:0008344,GO:0048512,GO:0050804
gene-LOC124190830	GO:0000836,GO:0016021,GO:0016874,GO:0046872,GO:0061630,GO:0016567,GO:0030433
gene-LOC124190672	GO:0019901
gene-LOC124190753	GO:0003735,GO:0005762,GO:0006412
gene-LOC124208187	GO:0005634,GO:0000977,GO:0000981,GO:0006357
gene-LOC124188595	GO:0005509
gene-LOC124191254	GO:0005887,GO:0005249,GO:0005516,GO:0071805,GO:0042391,GO:0034765
gene-LOC124192488	GO:0000381,GO:0003729
gene-LOC124192524	GO:0051536,GO:0016226
gene-LOC124192502	GO:0004149,GO:0045252,GO:0006099,GO:0033512
gene-LOC124192481	GO:0005634,GO:0000978,GO:0000981,GO:0006357
gene-LOC124192513	GO:0005975,GO:0050650,GO:0046872,GO:0006486,GO:0016021,GO:0000139,GO:0015018
gene-LOC124188999	GO:0005524,GO:0043408,GO:0005737,GO:0032147,GO:0004674,GO:0106310
gene-LOC124188978	GO:0004435,GO:0048015,GO:0005509,GO:0016042
gene-LOC124189024	GO:0005634,GO:0003714,GO:0046872,GO:0006357,GO:0045892
gene-LOC124189041	GO:0005112
gene-LOC124189051	GO:0016021
gene-LOC124193635	GO:0005634,GO:0000381,GO:0003727
gene-LOC124193607	GO:0000938,GO:0005829,GO:0019905,GO:0006896,GO:0015031,GO:0042147
gene-LOC124193628	GO:0005634,GO:0005737,GO:0003723,GO:0005515
gene-LOC124193618	GO:0005634,GO:0003723,GO:0005515
gene-LOC124189466	GO:0005778,GO:0005524,GO:0006635,GO:0140359,GO:0007031,GO:0016021,GO:0042760,GO:0015910,GO:0005324
gene-LOC124189649	GO:0005769,GO:0035091,GO:0046872
gene-LOC124189672	GO:0006281,GO:0003677,GO:0033699
gene-LOC124189665	GO:0090305,GO:0017108,GO:0007009,GO:0097035,GO:0071709,GO:0000724,GO:0016021,GO:0008821,GO:0055091,GO:0005886,GO:0033557
gene-LOC124189492	GO:0003723,GO:1990904
gene-LOC124189700	GO:0005524,GO:0016740
gene-LOC124189689	GO:0051321,GO:0000724,GO:0006289,GO:0007004,GO:0005662,GO:0043047,GO:0003684,GO:0006268
gene-LOC124192432	GO:0005634,GO:0003677,GO:0003700,GO:0006355
gene-LOC124192607	GO:0034663,GO:0003723,GO:0005524,GO:0016887,GO:0006396,GO:1903298
gene-LOC124192438	GO:0007600,GO:0045494
gene-LOC124196309	GO:0016021
gene-LOC124196277	GO:0000293,GO:0005509,GO:0016021,GO:0005886,GO:0033215
gene-LOC124196300	GO:0000293,GO:0005509,GO:0016021,GO:0005886,GO:0033215
gene-LOC124196291	GO:0050850,GO:0000293,GO:0005509,GO:0030728,GO:0016021,GO:0005886,GO:0033215,GO:0045987
gene-LOC124210456	GO:0005887,GO:0007218,GO:0004983
gene-LOC124191195	GO:0005634,GO:0003723,GO:0031119,GO:0005737,GO:0009982,GO:1990481
gene-LOC124191117	GO:0000151,GO:0005783,GO:0005829,GO:0016021,GO:0043130,GO:0046872,GO:0061630,GO:0006511,GO:0030968,GO:0070936
gene-LOC124197928	GO:0042734,GO:0005634,GO:0048791,GO:0042391,GO:0007165,GO:0048167,GO:0050806,GO:0031267,GO:0048788,GO:0044325
gene-LOC124207561	GO:0005615,GO:0016021,GO:0004867,GO:0005515,GO:0010951
gene-LOC124190123	GO:1902936
gene-LOC124190056	GO:0005525,GO:0030031,GO:0003925,GO:0032488,GO:0006897,GO:0016477,GO:0005886
gene-LOC124208677	GO:0004553,GO:0005975
gene-LOC124202197	GO:0016021,GO:0016853
gene-LOC124202122	GO:0005581,GO:0005604,GO:0005615,GO:0016020,GO:0005201,GO:0030198
gene-LOC124202036	GO:0005581,GO:0005604,GO:0016021,GO:0005201
gene-LOC124206112	GO:0042910,GO:0051610,GO:0055085,GO:0043195,GO:0016021,GO:0042908,GO:0030672,GO:0005335,GO:0015842
gene-LOC124200393	GO:0005759,GO:0009055,GO:0050660,GO:0009887,GO:0022900,GO:0031998,GO:0033539,GO:0070584
gene-LOC124200404	GO:0005576,GO:0008061,GO:0008233,GO:0008152
gene-LOC124195545	GO:0005634,GO:0030182,GO:0046872,GO:0000977,GO:0000981,GO:0006357
gene-LOC124195548	GO:0005634,GO:0048665,GO:0046872,GO:0007409,GO:0000977,GO:0000987,GO:0000981,GO:0006357
gene-LOC124195565	GO:0005925,GO:0030424,GO:0019903,GO:0035591,GO:0007185,GO:0007409
gene-LOC124195609	GO:0016600,GO:0031410,GO:0002090,GO:0045807,GO:0070528,GO:0072659,GO:1901890,GO:2000049
gene-LOC124195602	GO:0016021
gene-LOC124195622	GO:0016539,GO:0007267,GO:0007224,GO:0007367,GO:0009653,GO:0008233,GO:0005113,GO:0005886,GO:0005615,GO:0005509,GO:0010468,GO:0016021,GO:0016540,GO:0001708,GO:0016015
gene-LOC124195627	GO:0030245,GO:0008810
gene-LOC124192615	GO:0005697,GO:0003697,GO:0008310,GO:0042162,GO:0070034,GO:0000184,GO:0000712,GO:0090305
gene-LOC124195631	GO:0016021,GO:0005509,GO:0005515,GO:0006897
gene-LOC124195763	GO:0008934,GO:0046872,GO:0052832,GO:0052833,GO:0006021,GO:0007165,GO:0046854,GO:0046855
gene-LOC124195688	GO:0005887,GO:0035725,GO:0015280
gene-LOC124195711	GO:0004553,GO:0005975
gene-LOC124195750	GO:0030245,GO:0008810
gene-LOC124195643	GO:0003723,GO:0004386,GO:0005524,GO:0016740,GO:0046872,GO:0000184
gene-LOC124195669	GO:0000776,GO:0005819,GO:0005929,GO:0030496,GO:0031105,GO:0032154,GO:0005525
gene-LOC124195757	GO:0005634,GO:0003677
gene-LOC124195768	GO:0005840,GO:0003735,GO:0004463,GO:0006412
gene-LOC124195662	GO:0005634
gene-LOC124195794	GO:0005615,GO:0031012,GO:0050839,GO:0007155,GO:0030198
gene-LOC124195838	GO:0005085,GO:0005515,GO:0007264,GO:0050790
gene-LOC124195845	GO:0005634,GO:0000981,GO:0043565,GO:0006357
gene-LOC124195877	GO:0000978,GO:0000981,GO:0006357
gene-LOC124195917	GO:0008528,GO:0016021,GO:0007166,GO:0007188,GO:0005886
gene-LOC124195911	GO:0005634,GO:0000151,GO:0005737,GO:0000209,GO:0034450,GO:0030433
