gene,color,number
gene-LOC124188792,grey,2
gene-LOC124188793,grey,2
gene-LOC124188795,grey,2
gene-LOC124188796,grey,2
gene-LOC124188800,grey,2
gene-LOC124188806,grey,2
gene-LOC124188815,grey,2
gene-LOC124188818,grey,2
gene-LOC124188822,grey,2
gene-LOC124188834,grey,2
gene-LOC124188836,grey,2
gene-LOC124188838,grey,2
gene-LOC124188841,grey,2
gene-LOC124188847,grey,2
gene-LOC124188848,grey,2
gene-LOC124188850,grey,2
gene-LOC124188853,grey,2
gene-LOC124188855,grey,2
gene-LOC124188859,grey,2
gene-LOC124188860,grey,2
gene-LOC124188869,grey,2
gene-LOC124188879,grey,2
gene-LOC124188881,grey,2
gene-LOC124188885,grey,2
gene-LOC124188886,grey,2
gene-LOC124188889,grey,2
gene-LOC124188891,grey,2
gene-LOC124188910,grey,2
gene-LOC124188917,grey,2
gene-LOC124188919,grey,2
gene-LOC124188920,grey,2
gene-LOC124188925,grey,2
gene-LOC124188927,grey,2
gene-LOC124188928,grey,2
gene-LOC124188929,grey,2
gene-LOC124188934,grey,2
gene-LOC124188935,grey,2
gene-LOC124188936,grey,2
gene-LOC124188937,grey,2
gene-LOC124188950,grey,2
gene-LOC124188952,grey,2
gene-LOC124188956,grey,2
gene-LOC124188967,grey,2
gene-LOC124188969,grey,2
gene-LOC124188977,grey,2
gene-LOC124188985,grey,2
gene-LOC124188988,grey,2
gene-LOC124188991,grey,2
gene-LOC124188995,grey,2
gene-LOC124188998,grey,2
gene-LOC124189005,grey,2
gene-LOC124189008,grey,2
gene-LOC124189013,grey,2
gene-LOC124189014,grey,2
gene-LOC124189016,grey,2
gene-LOC124189030,grey,2
gene-LOC124189031,grey,2
gene-LOC124189039,grey,2
gene-LOC124189044,grey,2
gene-LOC124189047,grey,2
gene-LOC124189048,grey,2
gene-LOC124189051,grey,2
gene-LOC124189055,grey,2
gene-LOC124189323,grey,2
gene-LOC124189402,grey,2
gene-LOC124189651,grey,2
gene-LOC124189653,grey,2
gene-LOC124189659,grey,2
gene-LOC124189662,grey,2
gene-LOC124189664,grey,2
gene-LOC124189672,grey,2
gene-LOC124189673,grey,2
gene-LOC124189675,grey,2
gene-LOC124189679,grey,2
gene-LOC124189685,grey,2
gene-LOC124189698,grey,2
gene-LOC124189701,grey,2
gene-LOC124189712,grey,2
gene-LOC124189714,grey,2
gene-LOC124189719,grey,2
gene-LOC124189723,grey,2
gene-LOC124189727,grey,2
gene-LOC124189739,grey,2
gene-LOC124189740,grey,2
gene-LOC124189749,grey,2
gene-LOC124189750,grey,2
gene-LOC124189752,grey,2
gene-LOC124189758,grey,2
gene-LOC124189763,grey,2
gene-LOC124189764,grey,2
gene-LOC124189766,grey,2
gene-LOC124189767,grey,2
gene-LOC124189778,grey,2
gene-LOC124189779,grey,2
gene-LOC124189780,grey,2
gene-LOC124189782,grey,2
gene-LOC124189784,grey,2
gene-LOC124189787,grey,2
gene-LOC124189792,grey,2
gene-LOC124189795,grey,2
gene-LOC124189801,grey,2
gene-LOC124189802,grey,2
gene-LOC124189803,grey,2
gene-LOC124189813,grey,2
gene-LOC124189814,grey,2
gene-LOC124189815,grey,2
gene-LOC124189817,grey,2
