logFC,logCPM,PValue,FDR,,
BJP76_RS22410,2.544288505,10.69989545,7.82E-13,1.05E-11,
BJP76_RS06800,2.542544595,10.24569583,3.65E-14,6.28E-13,
BJP76_RS03955,2.539052593,8.157152136,1.72E-12,2.20E-11,
BJP76_RS13905,2.515128517,10.64478572,3.19E-15,6.56E-14,
BJP76_RS14605,2.502618176,7.511322516,7.71E-13,1.04E-11,
BJP76_RS05375,2.485158084,9.089109078,6.69E-16,1.49E-14,
BJP76_RS04910,2.481521261,4.621130139,7.59E-13,1.03E-11,
BJP76_RS08750,2.475415187,6.693934694,1.48E-21,7.63E-20,
BJP76_RS06080,2.468957776,5.411071627,2.32E-10,2.14E-09,
BJP76_RS08210,2.458565412,6.502627321,7.33E-14,1.20E-12,
BJP76_RS10100,2.45415786,7.905258336,3.28E-22,1.90E-20,
BJP76_RS02800,2.453635052,8.035158122,5.48E-06,2.28E-05,
BJP76_RS08755,2.443663384,6.299134136,1.22E-17,3.62E-16,
BJP76_RS22510,2.441298362,6.304947626,8.51E-14,1.38E-12,
BJP76_RS09615,2.417661016,10.43925536,3.40E-21,1.67E-19,
BJP76_RS09990,2.414101772,8.78182388,3.98E-23,2.79E-21,
BJP76_RS07560,2.413476689,3.904645425,3.64E-15,7.36E-14,
BJP76_RS07100,2.402913084,6.064237265,1.87E-06,8.46E-06,
BJP76_RS02430,2.383937108,3.651143399,3.79E-10,3.38E-09,
BJP76_RS16925,2.383377709,9.493468619,3.08E-15,6.37E-14,
BJP76_RS02510,2.382872816,7.470581146,7.83E-12,9.05E-11,
BJP76_RS03310,2.380046084,8.097258459,1.80E-32,3.35E-30,
BJP76_RS00815,2.356712064,4.890505801,1.22E-20,5.45E-19,
BJP76_RS02550,2.343632447,6.111642767,3.08E-07,1.61E-06,
BJP76_RS21970,2.341427216,1.977374039,0.000320308,0.000908104,
BJP76_RS03945,2.339058137,6.60986133,1.49E-10,1.43E-09,
BJP76_RS18670,2.330379488,7.190738552,3.94E-13,5.60E-12,
BJP76_RS22380,2.32069396,9.929378045,3.70E-16,8.81E-15,
BJP76_RS02690,2.316462143,5.789626933,1.13E-07,6.32E-07,
BJP76_RS02490,2.312843158,9.991371316,1.56E-08,1.05E-07,
BJP76_RS22045,2.310810558,4.879946954,6.79E-08,4.03E-07,
BJP76_RS09255,2.309967175,3.758052305,8.97E-07,4.30E-06,
BJP76_RS11295,2.296322362,8.60388221,1.46E-05,5.59E-05,
BJP76_RS08930,2.294445233,8.800597947,3.11E-13,4.51E-12,
BJP76_RS12030,2.290949497,8.256383603,1.40E-11,1.58E-10,
BJP76_RS15350,2.290420244,7.402623083,1.89E-10,1.76E-09,
BJP76_RS12950,2.289123453,6.049972212,1.88E-12,2.38E-11,
BJP76_RS09765,2.283685252,7.613997624,4.78E-17,1.30E-15,
BJP76_RS14310,2.278904657,7.088756429,2.36E-09,1.83E-08,
BJP76_RS14520,2.275669566,7.800775731,2.23E-06,9.98E-06,
BJP76_RS22375,2.26073086,9.490228736,4.02E-17,1.11E-15,
BJP76_RS06615,2.259245221,7.510016262,1.19E-16,3.01E-15,
BJP76_RS08215,2.254895795,5.884970048,5.18E-06,2.16E-05,
BJP76_RS19065,2.251895072,8.334747331,2.19E-07,1.17E-06,
BJP76_RS22030,2.250692528,9.94825179,3.77E-07,1.95E-06,
BJP76_RS21590,2.242398999,3.083744696,1.60E-08,1.07E-07,
BJP76_RS18600,2.2411764,6.52956761,8.52E-09,6.07E-08,
BJP76_RS05740,2.239923668,8.734035446,3.65E-08,2.26E-07,
BJP76_RS14315,2.230093308,6.864206838,8.06E-10,6.79E-09,
BJP76_RS11115,2.228849939,6.618389633,0.00022058,0.000645899,
BJP76_RS12965,2.226904296,8.019395797,7.19E-16,1.59E-14,
BJP76_RS05925,2.224421566,7.653737599,8.00E-09,5.72E-08,
BJP76_RS10680,2.219601563,5.2716429,5.36E-06,2.23E-05,
BJP76_RS22385,2.219141685,10.32154521,3.81E-11,4.04E-10,
BJP76_RS19160,2.217135779,9.289651996,1.07E-23,7.91E-22,
BJP76_RS20105,2.211031728,6.450125026,3.50E-11,3.75E-10,
BJP76_RS15100,2.207202505,6.555425911,7.12E-16,1.58E-14,
BJP76_RS10095,2.18653303,12.40509473,8.60E-20,3.50E-18,
BJP76_RS07665,2.175956486,5.075808459,1.21E-07,6.74E-07,
BJP76_RS22630,2.172519965,7.805238974,9.79E-24,7.35E-22,
BJP76_RS22995,2.162287633,7.669655728,1.07E-13,1.69E-12,
BJP76_RS00565,2.159857294,3.128128827,4.35E-05,0.00014906,
BJP76_RS22670,2.159806104,7.146432092,4.60E-05,0.000156286,
BJP76_RS06255,2.15523633,8.935058982,1.34E-08,9.18E-08,
BJP76_RS01245,2.154466345,8.24345574,4.25E-07,2.17E-06,TcrX
BJP76_RS04740,2.141984702,7.866947965,3.09E-22,1.81E-20,
BJP76_RS19070,2.137615384,9.191668685,2.21E-13,3.29E-12,
BJP76_RS13760,2.121375813,7.601060582,2.21E-05,8.09E-05,
BJP76_RS11945,2.120542026,5.068694613,1.10E-06,5.17E-06,
BJP76_RS14300,2.098000045,6.604020064,1.33E-10,1.28E-09,
BJP76_RS18310,2.082163785,7.123400072,1.43E-07,7.84E-07,
BJP76_RS11420,2.080254007,4.511999008,5.39E-07,2.68E-06,
BJP76_RS04200,2.077627967,7.941169897,1.35E-09,1.09E-08,
BJP76_RS09610,2.065092794,11.00957239,6.10E-18,1.95E-16,
BJP76_RS15975,2.061667673,7.288497908,5.32E-19,1.98E-17,
BJP76_RS04420,2.040843122,3.314934097,1.78E-05,6.64E-05,
BJP76_RS05530,2.038045354,10.27220565,9.35E-11,9.33E-10,
BJP76_RS07105,2.034814542,5.571814366,5.04E-06,2.11E-05,
BJP76_RS18595,2.030242169,9.306174396,8.70E-20,3.52E-18,
BJP76_RS02515,2.029495993,9.651775863,0.002100464,0.004887003,
BJP76_RS20665,2.027506982,5.731618549,5.82E-12,6.82E-11,
BJP76_RS20670,2.025517284,7.403140899,1.60E-05,6.07E-05,
BJP76_RS02770,2.021243131,7.831066438,8.15E-10,6.85E-09,
BJP76_RS09605,2.018401291,11.7890208,1.26E-18,4.38E-17,
BJP76_RS10465,2.007109275,4.985175032,4.54E-12,5.46E-11,
BJP76_RS23390,1.997766667,7.533865987,1.92E-05,7.12E-05,
BJP76_RS22135,1.993147958,7.039151977,2.07E-08,1.37E-07,
BJP76_RS09240,1.981785076,10.17761842,4.95E-11,5.16E-10,
BJP76_RS22990,1.973688486,6.054938632,5.49E-16,1.28E-14,
BJP76_RS07095,1.972950086,5.962164637,5.49E-05,0.000184105,
BJP76_RS11590,1.970764171,9.13496271,6.08E-25,5.21E-23,
BJP76_RS12960,1.962311793,8.381386672,1.38E-14,2.55E-13,
BJP76_RS12940,1.961731989,7.723656548,1.66E-12,2.15E-11,
BJP76_RS19190,1.956732959,5.710657117,9.05E-05,0.000291267,
BJP76_RS22490,1.953356179,6.365092808,3.45E-09,2.61E-08,
BJP76_RS17135,1.953289677,3.83675042,3.02E-11,3.27E-10,
BJP76_RS11795,1.952338617,7.051827772,1.13E-05,4.43E-05,
BJP76_RS08500,1.950084465,9.111412057,3.18E-12,3.94E-11,
BJP76_RS18155,1.948491664,5.713403753,0.002256482,0.005224446,
BJP76_RS22025,1.946771825,7.880074252,1.37E-05,5.30E-05,
BJP76_RS13105,1.939332779,8.508943694,7.01E-24,5.46E-22,
BJP76_RS18835,1.929036462,5.328875347,0.000203254,0.00060175,
BJP76_RS09620,1.927554373,10.10075039,6.82E-13,9.30E-12,
BJP76_RS02425,1.925107258,6.529376089,3.30E-13,4.75E-12,
BJP76_RS15415,1.919531724,5.904130549,2.17E-22,1.33E-20,
BJP76_RS04495,1.918734499,8.607612144,4.47E-12,5.41E-11,
BJP76_RS14675,1.918558108,9.58174258,1.06E-09,8.74E-09,
BJP76_RS22075,1.911916172,7.871764325,2.58E-18,8.63E-17,
BJP76_RS09760,1.911107266,7.779230621,3.28E-10,2.95E-09,
BJP76_RS00825,1.910848133,6.437743182,2.84E-05,0.000101868,
BJP76_RS06670,1.90979603,7.473144617,3.74E-21,1.80E-19,
BJP76_RS22080,1.907239362,7.787382917,5.97E-15,1.16E-13,
