logFC,logCPM,PValue,FDR,,
BJP76_RS01885,-0.75777666,6.709759576,0.001423775,0.003449452,
BJP76_RS13345,-0.757957756,7.977462327,0.088584824,0.13400411,
BJP76_RS15155,-0.758373494,6.700559777,0.002307373,0.005333619,
BJP76_RS21925,-0.759869201,6.723342658,0.006917207,0.014209483,
BJP76_RS23885,-0.760040667,5.791724578,0.033416319,0.057637092,
BJP76_RS20835,-0.761159179,5.35044165,0.000159814,0.000485224,
BJP76_RS11525,-0.762021987,7.781156854,0.014221766,0.027071312,
BJP76_RS11995,-0.762102274,9.682615432,0.113302726,0.165772034,
BJP76_RS12010,-0.762492475,5.348102385,2.88E-05,0.000102953,
BJP76_RS07330,-0.76289102,6.103196915,1.03E-05,4.09E-05,
BJP76_RS14285,-0.764261678,8.940999299,0.002928761,0.006616374,
BJP76_RS20190,-0.764305098,8.728641089,0.000539414,0.001450826,
BJP76_RS02500,-0.764737458,7.466165558,0.000194984,0.000578466,
BJP76_RS02365,-0.765138921,4.580697874,0.001716599,0.004075396,
BJP76_RS23285,-0.765222213,7.340923677,6.58E-05,0.000216396,
BJP76_RS09680,-0.765975086,5.002308708,0.000815768,0.00211783,
BJP76_RS23220,-0.766524834,4.992675382,0.01971045,0.036230329,
BJP76_RS22235,-0.767038156,5.858505487,0.032861429,0.056840313,
BJP76_RS23960,-0.767452122,5.230030063,0.000241983,0.000705194,
BJP76_RS11730,-0.770135187,7.194665896,0.002498325,0.005731688,
BJP76_RS03400,-0.771109086,5.279486143,0.001194368,0.002972726,
BJP76_RS21240,-0.771310017,7.074285047,0.000632332,0.001677207,
BJP76_RS15865,-0.771872898,5.332457927,1.54E-05,5.85E-05,
BJP76_RS16160,-0.772072621,6.430877473,0.000689783,0.001814972,
BJP76_RS05395,-0.774685918,5.060292503,0.001271487,0.003137313,
BJP76_RS05055,-0.77506217,6.369923448,0.001035139,0.002623701,
BJP76_RS06495,-0.775071578,1.436046168,0.079299242,0.122159069,
BJP76_RS21935,-0.77548825,6.004120799,0.000453578,0.001235662,
BJP76_RS15035,-0.7760707,3.222067869,0.007935334,0.016054426,
BJP76_RS09045,-0.776236555,4.026493733,0.037207475,0.063164334,
BJP76_RS15225,-0.777541996,5.426988123,0.000295888,0.000845592,
BJP76_RS00770,-0.778329311,7.951642662,8.21E-05,0.000266523,
BJP76_RS05675,-0.778572262,4.067362056,0.002450552,0.005631139,
BJP76_RS16900,-0.778617231,6.23185304,6.55E-05,0.000215616,
BJP76_RS23035,-0.779176967,4.591724211,0.000205146,0.000605675,
BJP76_RS07735,-0.780139708,4.606765764,1.17E-06,5.47E-06,
BJP76_RS15475,-0.780869875,5.735597692,0.002652539,0.006069224,
BJP76_RS22360,-0.78219901,6.077655577,7.89E-05,0.000257143,
BJP76_RS17885,-0.782385444,3.984460617,0.002094585,0.004878629,
BJP76_RS10080,-0.782429304,6.491918743,0.000821788,0.002129586,
BJP76_RS10855,-0.78426862,4.439375959,0.022157315,0.040223174,
BJP76_RS21145,-0.786399332,8.150901146,0.084861529,0.129608351,
BJP76_RS11850,-0.786792159,10.80938036,0.000591749,0.001576401,
BJP76_RS20915,-0.787014577,6.192551404,4.85E-05,0.000164022,
BJP76_RS05845,-0.787952733,7.178609521,0.002140698,0.004969809,
BJP76_RS06230,-0.788389211,5.47701162,0.000755173,0.00197248,
BJP76_RS13535,-0.788547292,6.701824991,0.002073495,0.004832135,
BJP76_RS13185,-0.790815712,7.816359052,0.006120728,0.01275698,
BJP76_RS11135,-0.791474933,5.965103498,0.001108375,0.002786231,
BJP76_RS13085,-0.791962348,8.397590774,0.016503642,0.030960601,
BJP76_RS01990,-0.792408485,3.502566221,0.001965992,0.004609206,
BJP76_RS14700,-0.792815657,6.448430903,0.00129042,0.003178533,
BJP76_RS04090,-0.792945638,4.72596842,0.002672794,0.006109298,
BJP76_RS14890,-0.794023421,6.36843678,0.106845225,0.157671289,
BJP76_RS16015,-0.794406369,3.984276152,0.148936114,0.209942544,
BJP76_RS01930,-0.795060334,-0.835353312,0.352896661,0.432755831,
BJP76_RS03735,-0.795747641,3.618626536,0.000898976,0.002314202,
BJP76_RS00205,-0.796821453,4.612834938,0.004065903,0.008889751,
BJP76_RS02990,-0.796870859,5.275532759,0.000190082,0.000565882,
BJP76_RS20270,-0.797187531,8.653371321,0.001298135,0.003194089,
BJP76_RS23775,-0.797199075,4.387382778,0.003767409,0.008292173,
BJP76_RS05200,-0.797248314,8.637783535,0.000382632,0.001063668,
BJP76_RS20505,-0.79731482,6.730779096,0.000345873,0.000969667,
BJP76_RS06225,-0.797471308,4.088555818,0.001241453,0.003075615,
BJP76_RS20205,-0.798056012,8.671327921,0.000294955,0.000844052,
BJP76_RS20155,-0.798303894,4.416101464,0.000375538,0.001045305,
BJP76_RS15770,-0.798396839,4.216266117,0.006649035,0.01371784,
BJP76_RS02450,-0.79856859,4.957722594,0.000427556,0.00116807,
BJP76_RS00210,-0.798695517,3.547906873,0.013078582,0.025096104,
BJP76_RS19620,-0.799096485,7.787047954,6.34E-05,0.000209569,
BJP76_RS18735,-0.799904595,6.760861574,0.000293017,0.000839067,
BJP76_RS01765,-0.800530688,7.627391898,0.005361859,0.011318599,
BJP76_RS10640,-0.800992599,6.736077415,0.00021113,0.000622056,
BJP76_RS20895,-0.801674152,6.988664455,0.000951143,0.002429466,
BJP76_RS02245,-0.802260097,6.46900952,0.000305567,0.000871508,
BJP76_RS17670,-0.803236253,5.47185476,0.000173211,0.000519949,
BJP76_RS23250,-0.804258607,6.126047556,8.50E-05,0.000275171,
BJP76_RS20125,-0.80473741,7.330593914,0.002325064,0.00536293,
BJP76_RS20285,-0.804796552,9.709502449,0.000308765,0.00087887,
BJP76_RS00655,-0.805190363,4.99119416,0.094178706,0.141317574,
BJP76_RS21260,-0.805407929,6.668578345,0.009630547,0.019113756,
BJP76_RS01280,-0.805435234,4.373347273,0.007397154,0.015086812,
BJP76_RS10455,-0.80579515,6.513812489,0.066723309,0.105558938,
BJP76_RS16540,-0.806543911,6.061497062,0.001359146,0.003321065,
BJP76_RS08100,-0.807445626,8.809864473,0.008464412,0.016980387,
BJP76_RS20300,-0.808149416,10.35608158,0.000409854,0.001125455,
BJP76_RS21870,-0.808168732,5.966521575,2.68E-05,9.67E-05,
BJP76_RS06950,-0.80841721,5.568986938,0.002591046,0.005938044,
BJP76_RS03690,-0.808593044,6.517013198,0.176143155,0.241921349,
BJP76_RS16720,-0.809580982,7.140706372,5.00E-07,2.51E-06,
BJP76_RS07205,-0.811109791,4.348747884,0.00013897,0.000427699,
BJP76_RS12040,-0.81230188,5.758785863,0.000120705,0.000374993,
BJP76_RS20280,-0.814090073,8.829357439,0.000546355,0.001464584,
BJP76_RS20415,-0.814263692,10.02939489,0.020241503,0.03709498,
BJP76_RS09380,-0.815110495,1.982775215,0.017334942,0.032293685,
BJP76_RS09025,-0.81515493,4.855939223,0.001254409,0.003100534,
BJP76_RS13280,-0.816023169,5.979962122,0.000693317,0.001823152,
BJP76_RS12750,-0.816765492,6.050633251,2.36E-05,8.60E-05,
BJP76_RS11140,-0.817354946,6.03020155,0.001563484,0.003753941,
BJP76_RS20740,-0.818040424,3.493444651,0.003313608,0.007384464,
BJP76_RS14355,-0.8185378,3.827726387,0.119172234,0.173327779,
BJP76_RS21915,-0.819088703,7.502305814,0.001027613,0.00260926,
BJP76_RS23175,-0.819295612,3.627854808,0.001139219,0.002853714,
BJP76_RS20365,-0.819480773,4.451803039,0.000702447,0.001844893,
BJP76_RS07860,-0.819553128,8.673890964,0.064007037,0.101712742,
BJP76_RS16805,-0.820334355,5.088951629,0.000217718,0.000639266,
BJP76_RS04500,-0.821454842,3.600453924,0.005230614,0.011079792,
BJP76_RS17040,-0.821779829,7.089539381,0.012044528,0.023331504,
BJP76_RS21650,-0.822200555,6.338795233,0.006908384,0.014198172,
BJP76_RS14585,-0.82288653,7.51807249,6.45E-06,2.65E-05,
BJP76_RS05800,-0.824599806,3.242735067,0.021560349,0.039309989,
BJP76_RS20430,-0.826242968,6.348095531,8.97E-05,0.000289034,
BJP76_RS23935,-0.827095511,3.100859192,0.027094744,0.047950641,
BJP76_RS05100,-0.827488565,5.195956577,0.025620827,0.0457202,
BJP76_RS20410,-0.828188044,11.99839287,0.001579927,0.003787049,
BJP76_RS06010,-0.829455065,8.107429287,2.29E-06,1.02E-05,
BJP76_RS00530,-0.830651863,1.42783089,0.039947557,0.067355452,
BJP76_RS16905,-0.831817087,7.017501796,6.07E-05,0.000202059,
BJP76_RS01410,-0.831822874,5.075787989,0.004661665,0.010028436,
BJP76_RS23435,-0.831823196,7.124393521,0.000912553,0.002344921,
BJP76_RS00745,-0.83337579,9.011540428,0.022386407,0.040574179,
BJP76_RS15140,-0.834232383,4.231350176,0.000196943,0.000583874,
BJP76_RS15040,-0.834690233,2.593604627,0.022614018,0.040865602,
BJP76_RS15725,-0.835742765,11.60016588,0.007806262,0.015823204,
BJP76_RS10070,-0.836290977,6.402261788,9.49E-05,0.00030308,
BJP76_RS17185,-0.836985553,1.365825932,0.058918015,0.094502818,
BJP76_RS20215,-0.837123396,8.962365119,0.000633594,0.001679515,
BJP76_RS02875,-0.837145061,5.139104439,0.000106714,0.00033616,
BJP76_RS03000,-0.83769819,7.589866375,0.000100949,0.000320595,
BJP76_RS11375,-0.83824878,5.535032049,0.004100732,0.008947622,
BJP76_RS15715,-0.838270707,6.98143852,0.000261849,0.000757417,
BJP76_RS00710,-0.838765992,6.633520266,5.39E-06,2.24E-05,
BJP76_RS19895,-0.839776939,3.796421695,0.01161002,0.022590045,
BJP76_RS06335,-0.839814102,9.491096286,0.00118136,0.002945487,
BJP76_RS01275,-0.839866207,3.042947996,0.004198213,0.009127755,
BJP76_RS05555,-0.840093498,8.698946622,0.000202476,0.000599861,
BJP76_RS02555,-0.840146204,5.389250352,0.000139162,0.000427983,
BJP76_RS19500,-0.840996333,7.6604598,0.000383351,0.001064975,
BJP76_RS00280,-0.841062764,5.787924933,0.000106947,0.000336646,
BJP76_RS03755,-0.841786076,1.419850473,0.112503518,0.16477166,
BJP76_RS23640,-0.843522059,7.202241971,0.000148247,0.000453397,
BJP76_RS22280,-0.843614723,6.251978891,9.23E-07,4.41E-06,
BJP76_RS24130,-0.844671562,5.281471631,0.007967959,0.016097608,
BJP76_RS05425,-0.844711021,5.989301803,0.011779869,0.02284985,
BJP76_RS01005,-0.845477646,8.379169054,1.83E-05,6.81E-05,
BJP76_RS03140,-0.845778431,6.139233664,5.53E-05,0.000185269,
BJP76_RS00595,-0.846621877,7.565626329,0.081461357,0.124950221,
BJP76_RS04745,-0.847579432,7.879266297,0.001020408,0.002595584,
BJP76_RS05755,-0.849795513,5.756590741,3.09E-06,1.35E-05,
BJP76_RS00420,-0.850250112,5.888806146,0.005406498,0.011395972,
BJP76_RS11310,-0.850707876,7.997602706,0.003635249,0.008034331,
BJP76_RS11330,-0.851947582,8.482073984,5.27E-05,0.000177326,
BJP76_RS08255,-0.852082588,3.565274004,0.139671959,0.198781801,
BJP76_RS03370,-0.85303445,5.413251736,0.001244924,0.003078868,
BJP76_RS23730,-0.853150327,3.542306226,0.005608652,0.011775693,
BJP76_RS19145,-0.855038554,10.14966115,0.002023022,0.004724799,
BJP76_RS05170,-0.85687606,5.294643558,3.27E-05,0.00011517,
BJP76_RS03150,-0.859516071,6.048582464,0.000545972,0.001464478,
BJP76_RS07930,-0.861645143,2.765519523,0.041013907,0.06896329,
BJP76_RS05460,-0.861863023,7.375251325,0.000480262,0.001302916,
BJP76_RS17820,-0.865280227,5.459732558,7.94E-05,0.000258529,
BJP76_RS16895,-0.86625729,4.691404644,0.000220055,0.000644802,
BJP76_RS10010,-0.867324566,3.895719568,0.028360065,0.049954768,
BJP76_RS04305,-0.867852468,7.120453214,0.000409731,0.001125455,
BJP76_RS11190,-0.868164205,7.809240288,0.000922571,0.002367822,
BJP76_RS05320,-0.86948637,7.27964559,0.080497735,0.123693755,
BJP76_RS13750,-0.870820903,4.870908397,0.000119163,0.000371031,
BJP76_RS11705,-0.875250735,4.480338354,0.000217151,0.000638038,
BJP76_RS03565,-0.879699049,5.567815388,0.023982623,0.043084184,
BJP76_RS11130,-0.879709394,5.562195966,1.27E-05,4.93E-05,
BJP76_RS07565,-0.88046113,4.178883113,0.007374926,0.015048645,
BJP76_RS22810,-0.88248896,5.292451304,5.93E-05,0.000197719,
BJP76_RS23260,-0.882706441,8.848480286,2.74E-05,9.84E-05,
BJP76_RS23370,-0.883006945,3.767861654,0.032586085,0.05647815,
BJP76_RS06175,-0.883675587,4.750637372,0.000489788,0.001327078,
BJP76_RS14400,-0.885670637,8.065246809,1.60E-06,7.33E-06,
BJP76_RS10540,-0.887886567,3.661000707,0.021853324,0.039759489,
BJP76_RS20720,-0.887920289,4.01685585,0.000394396,0.001090705,
BJP76_RS07710,-0.888905015,6.803983552,5.22E-05,0.000175966,
BJP76_RS00620,-0.889061962,6.575664206,1.08E-05,4.26E-05,
BJP76_RS19315,-0.889555993,5.409675364,0.000214626,0.000631052,
BJP76_RS07415,-0.889980082,5.836784671,0.000324763,0.000917697,
BJP76_RS10005,-0.891342679,5.109669009,8.03E-05,0.000261273,
BJP76_RS14895,-0.893332999,8.36315242,0.01802442,0.033360372,
BJP76_RS08805,-0.894054988,6.410235418,0.000300578,0.000857851,
BJP76_RS09170,-0.894821564,3.919323141,0.056620149,0.091364816,
BJP76_RS01865,-0.894933968,6.776972485,0.02668716,0.047405698,
BJP76_RS20080,-0.895752544,2.921495325,0.076489889,0.118299572,
BJP76_RS10960,-0.897164657,5.384073835,7.07E-05,0.00023144,
BJP76_RS21190,-0.898734894,9.646746315,5.77E-05,0.000192756,
BJP76_RS01835,-0.898819771,5.95714227,0.000399031,0.00109997,
BJP76_RS17780,-0.899352562,4.98684803,0.031231799,0.054461642,
BJP76_RS10885,-0.900125361,5.095795842,0.002034035,0.004742758,
BJP76_RS07215,-0.901149658,4.72636022,0.000152623,0.000465371,
BJP76_RS13015,-0.901218533,7.866598067,4.55E-05,0.000154586,
BJP76_RS02160,-0.901549105,3.546859004,0.001767842,0.004183599,
BJP76_RS16205,-0.902308227,5.877366677,0.000765785,0.00199533,
BJP76_RS21825,-0.902470226,4.871338608,3.51E-05,0.00012244,
BJP76_RS23170,-0.902941103,3.161816811,0.000850723,0.00219659,
BJP76_RS18420,-0.906360599,6.51032009,9.11E-05,0.00029245,
BJP76_RS20800,-0.906777067,4.694931151,0.000613055,0.001629106,
BJP76_RS02235,-0.907107965,9.729099419,6.87E-06,2.81E-05,
BJP76_RS23900,-0.907642575,4.328638776,2.50E-06,1.11E-05,
BJP76_RS20220,-0.907644233,7.345416994,0.000354511,0.000989994,
BJP76_RS18150,-0.907747575,4.479408979,0.088302915,0.133653634,
BJP76_RS05850,-0.907862034,6.948590802,0.001980394,0.00464043,
BJP76_RS11355,-0.90795365,6.414326985,8.18E-05,0.000265739,
BJP76_RS05095,-0.907993128,3.308985638,0.009754252,0.019314501,
BJP76_RS13390,-0.908416012,3.604467357,0.009353708,0.018608624,
BJP76_RS17160,-0.90874029,2.966133427,0.010299461,0.020262342,
BJP76_RS09410,-0.909822372,7.133620949,7.98E-06,3.23E-05,
BJP76_RS09200,-0.910625586,6.350243851,0.000338196,0.000953137,
BJP76_RS10525,-0.912352066,5.670074756,0.001260205,0.003113062,
BJP76_RS01785,-0.912502666,6.125535334,0.001331709,0.003263345,
BJP76_RS17680,-0.912842009,3.305183325,0.001821008,0.004295171,
BJP76_RS20380,-0.912996451,6.462561612,0.000550162,0.001472948,
BJP76_RS19040,-0.91303565,7.41023296,3.29E-05,0.000115652,
BJP76_RS18365,-0.914506406,4.805671594,0.001319869,0.003238029,
BJP76_RS07740,-0.914713231,5.113050951,1.81E-05,6.75E-05,
BJP76_RS04655,-0.915062402,8.871333483,0.001780996,0.004207751,
BJP76_RS13595,-0.91531688,11.25947341,2.72E-05,9.79E-05,
BJP76_RS02200,-0.915813647,2.1723572,0.035844188,0.06123263,
BJP76_RS01150,-0.916742881,7.355363411,0.000166785,0.000504599,
BJP76_RS18070,-0.917209483,5.078056079,0.000298699,0.000853055,
BJP76_RS16755,-0.917591566,9.217446025,0.000404114,0.001112549,
BJP76_RS10700,-0.917996171,4.85471799,0.000528864,0.001425735,
BJP76_RS06180,-0.918053554,7.937817332,3.23E-05,0.000114184,
BJP76_RS12825,-0.918999218,5.984719496,0.000397241,0.00109704,
BJP76_RS04645,-0.920334875,6.060851231,0.000340296,0.000958427,
BJP76_RS10385,-0.921481858,3.950100168,0.013893248,0.026516716,
BJP76_RS12925,-0.92335503,8.956773476,0.000735461,0.001925694,
BJP76_RS06625,-0.924866548,5.690479221,2.90E-05,0.000103356,
BJP76_RS23245,-0.927716127,5.183660797,5.46E-05,0.000183151,
BJP76_RS01125,-0.928017855,6.31552668,2.72E-05,9.80E-05,
BJP76_RS01025,-0.92820626,12.19789172,0.001398759,0.003398461,
BJP76_RS16800,-0.929099746,6.272321089,0.005261349,0.011133878,
BJP76_RS05580,-0.929504368,6.314779315,0.000645998,0.001710276,
BJP76_RS21185,-0.929658295,7.575848752,4.53E-05,0.000154232,
BJP76_RS16175,-0.929970741,6.337117238,1.59E-05,6.03E-05,
BJP76_RS08010,-0.930702589,5.557930392,8.42E-07,4.05E-06,
BJP76_RS18190,-0.931726186,4.069739223,0.001214281,0.003018624,
BJP76_RS02995,-0.931909605,4.734224369,1.80E-05,6.73E-05,
BJP76_RS06520,-0.932608957,6.744164032,0.013212184,0.025336758,
BJP76_RS15980,-0.93644578,6.279010181,0.000193331,0.000574756,
BJP76_RS09065,-0.938431815,6.677867269,1.66E-05,6.26E-05,
BJP76_RS13590,-0.938451082,11.66580545,2.62E-05,9.48E-05,
BJP76_RS01210,-0.938474768,4.618215291,0.00072171,0.001892244,
BJP76_RS14690,-0.939193883,7.595177144,2.15E-05,7.92E-05,
BJP76_RS20725,-0.940066167,3.722873167,0.00018403,0.000549394,
BJP76_RS12745,-0.941619629,6.718054002,5.43E-07,2.70E-06,
BJP76_RS04220,-0.942030926,4.862464086,0.000818912,0.002124705,
BJP76_RS22785,-0.943610827,5.363260002,0.000306416,0.000873347,
BJP76_RS22270,-0.943720683,5.718809675,1.16E-05,4.55E-05,
BJP76_RS02865,-0.944153077,4.522040169,0.00027493,0.000790978,
BJP76_RS21275,-0.944704867,6.171091795,0.001525979,0.003674193,
BJP76_RS05225,-0.945287893,8.149018763,1.49E-05,5.68E-05,
BJP76_RS04195,-0.945718394,5.222897795,4.38E-06,1.86E-05,
BJP76_RS14485,-0.945876401,6.203936338,0.005341869,0.011281965,
BJP76_RS20210,-0.947595072,9.371918281,0.00039684,0.001096753,
BJP76_RS07910,-0.94878647,6.169972797,3.79E-05,0.000131365,
BJP76_RS01955,-0.950054411,4.978569019,0.001634215,0.003895364,
BJP76_RS02165,-0.950822825,5.023719649,1.42E-05,5.45E-05,
BJP76_RS01825,-0.950990383,7.241492543,0.000465744,0.001266742,
BJP76_RS03525,-0.951104778,-1.146469176,0.351886105,0.431763948,
BJP76_RS23510,-0.953237067,9.07689646,0.000422248,0.001154306,
BJP76_RS22805,-0.954612338,7.908343068,0.001244141,0.003078709,
BJP76_RS12790,-0.954733467,6.802287388,8.40E-05,0.000272587,
BJP76_RS19365,-0.955336775,5.137933771,0.00027106,0.000782474,
BJP76_RS14785,-0.95606278,5.969487815,8.24E-06,3.32E-05,
BJP76_RS12855,-0.957346705,3.5316422,0.000375128,0.001044843,
BJP76_RS20275,-0.957703519,7.098769379,0.000534658,0.001440447,
BJP76_RS13010,-0.957719775,8.613972394,8.48E-06,3.41E-05,
BJP76_RS22840,-0.957928925,4.889028077,0.000258242,0.000747994,
BJP76_RS20325,-0.9592472,5.119013588,1.72E-06,7.81E-06,
BJP76_RS00315,-0.960313796,0.937000681,0.038230401,0.064740644,
BJP76_RS13020,-0.961210433,10.07799711,0.000414502,0.001136033,
BJP76_RS01130,-0.961508925,5.481052934,3.58E-08,2.23E-07,
BJP76_RS02130,-0.961752369,7.20672442,0.002128996,0.004945324,
BJP76_RS01670,-0.96175271,4.042192816,0.00011917,0.000371031,
BJP76_RS11990,-0.96242978,6.508882818,9.72E-06,3.87E-05,
BJP76_RS18985,-0.962709343,5.527977835,5.21E-07,2.60E-06,
BJP76_RS21245,-0.963360018,9.374392112,0.000758381,0.001977525,
BJP76_RS11710,-0.963522473,5.075622072,0.000397712,0.00109704,
BJP76_RS17965,-0.96372962,6.934472767,0.000751422,0.001963882,
BJP76_RS21055,-0.964133181,4.236085743,0.000115145,0.000359807,
BJP76_RS00725,-0.964646076,2.306363987,0.024423163,0.043802078,
BJP76_RS13875,-0.965287085,7.789514881,1.14E-06,5.35E-06,
BJP76_RS12980,-0.965736677,7.851485931,0.000143122,0.00043953,
BJP76_RS18725,-0.967400786,4.591180211,1.03E-06,4.88E-06,
BJP76_RS04085,-0.967740865,3.737972513,0.001134344,0.00284483,
BJP76_RS16685,-0.969569728,5.695017843,0.000498194,0.001348999,
BJP76_RS14460,-0.970664259,3.636184312,0.101512657,0.150999195,
BJP76_RS05720,-0.971299637,3.328725878,0.00143771,0.003479274,
BJP76_RS01080,-0.971657379,7.722387579,0.00026944,0.000778848,
BJP76_RS20130,-0.972797593,9.301131317,5.18E-05,0.000174952,
BJP76_RS20290,-0.972987926,9.314111548,4.54E-05,0.000154394,
BJP76_RS01225,-0.975020289,6.582796753,3.23E-06,1.40E-05,
BJP76_RS11935,-0.977265689,7.258119481,1.77E-07,9.63E-07,
BJP76_RS01780,-0.977925078,5.501291412,4.65E-06,1.96E-05,
BJP76_RS03255,-0.978228736,6.734610161,0.000428976,0.001171202,
BJP76_RS16010,-0.978235914,7.252702557,3.44E-05,0.00012028,
BJP76_RS09465,-0.978603303,7.349373118,3.34E-06,1.45E-05,
BJP76_RS05670,-0.97895253,3.572641023,2.69E-05,9.70E-05,
BJP76_RS07680,-0.980527227,4.293667096,0.025756265,0.045885381,
BJP76_RS08565,-0.982721125,7.006610116,1.44E-05,5.53E-05,
BJP76_RS05085,-0.983805016,5.531534876,0.000779234,0.002029138,
BJP76_RS11560,-0.984690998,6.245934006,0.000567474,0.001515505,
BJP76_RS21415,-0.98547973,8.037430427,0.00243388,0.005595833,
BJP76_RS10535,-0.985683457,5.310305266,0.016788863,0.031399355,
BJP76_RS07905,-0.985717098,8.617495121,3.09E-05,0.000109644,
BJP76_RS06900,-0.986392126,5.651870114,0.001180029,0.002943882,
BJP76_RS06015,-0.986613172,8.518218093,0.000184964,0.000551414,
BJP76_RS09160,-0.986755118,5.77172896,0.008060413,0.01626137,
BJP76_RS05195,-0.986868359,6.339800123,0.00010121,0.000321185,
BJP76_RS22285,-0.988496113,8.074534279,0.000335757,0.000946889,
BJP76_RS05915,-0.988752598,8.076222606,0.010816088,0.021155471,
BJP76_RS08160,-0.989656673,7.608370486,0.002696019,0.006148992,
BJP76_RS10660,-0.989976952,4.905519092,0.000525976,0.001419737,
BJP76_RS16605,-0.991837909,6.907946214,3.81E-07,1.96E-06,
BJP76_RS05215,-0.991943239,4.172899261,0.001051833,0.002659714,
BJP76_RS12035,-0.99209882,7.64136513,0.000206307,0.000608684,
BJP76_RS23910,-0.992796606,8.385823274,0.000136937,0.000421747,
BJP76_RS04680,-0.994504079,6.187715257,6.13E-06,2.53E-05,
BJP76_RS16150,-0.995332603,5.825406548,3.74E-05,0.000129947,
BJP76_RS17980,-0.996261584,6.809457286,0.000839104,0.002169205,
BJP76_RS23930,-0.997324508,3.977032079,8.48E-05,0.000274603,
BJP76_RS16455,-1.000426568,7.265742911,3.54E-07,1.83E-06,
BJP76_RS04965,-1.001013619,3.803546704,0.010582518,0.020743479,
BJP76_RS08390,-1.002227053,4.925811244,0.003537849,0.007851495,
BJP76_RS00640,-1.002654386,2.598952338,0.000311825,0.000886992,
BJP76_RS00880,-1.002747459,3.851983924,0.000543089,0.001457658,
BJP76_RS05495,-1.002944036,5.256943299,3.84E-05,0.000133135,
BJP76_RS22665,-1.009132689,7.992180544,3.94E-06,1.69E-05,
BJP76_RS02020,-1.009575622,1.675569215,0.011831814,0.022940216,
BJP76_RS01695,-1.009915625,1.497220269,0.069793155,0.109324734,
BJP76_RS18080,-1.010365602,4.950299968,0.000231966,0.000677848,
BJP76_RS13445,-1.0107175,7.120030805,2.31E-06,1.03E-05,
BJP76_RS10375,-1.010756255,2.997679577,0.019504847,0.035883219,
BJP76_RS10940,-1.011222376,5.39135765,0.000102535,0.000324911,
BJP76_RS18085,-1.011602929,5.24758818,0.004356807,0.009453365,
BJP76_RS11250,-1.011851211,5.143537825,1.85E-06,8.40E-06,
BJP76_RS10545,-1.01194079,1.822228964,0.10615647,0.157025894,
BJP76_RS24020,-1.012106835,4.431016207,0.07088244,0.110747346,
BJP76_RS12895,-1.012191175,3.051750635,0.004049852,0.008864062,
BJP76_RS08885,-1.012927329,3.119183888,0.003579891,0.007932461,
BJP76_RS12255,-1.015549961,2.814213634,0.004846768,0.010369322,
BJP76_RS07210,-1.016081371,4.291085707,9.88E-06,3.93E-05,
BJP76_RS20615,-1.018557328,6.060973692,1.42E-06,6.55E-06,
BJP76_RS19530,-1.018578993,4.727140383,4.44E-05,0.000151962,
BJP76_RS04145,-1.020169612,2.948375926,0.002102144,0.004888255,
BJP76_RS03005,-1.021169482,4.090971671,0.00094111,0.002409623,
BJP76_RS17700,-1.021342385,3.762861451,6.02E-05,0.000200513,
BJP76_RS07220,-1.025157641,5.358335863,0.001300409,0.00319636,
BJP76_RS10835,-1.027736286,2.624356096,0.022288139,0.040430306,
BJP76_RS05270,-1.028382657,5.372072812,5.52E-06,2.29E-05,
BJP76_RS20550,-1.031632082,6.962119515,1.79E-06,8.14E-06,
BJP76_RS18635,-1.032208268,7.695733988,2.33E-08,1.53E-07,
BJP76_RS02150,-1.033234641,4.624462079,0.000161716,0.000489956,
BJP76_RS12730,-1.033596423,7.654333069,5.80E-06,2.40E-05,
BJP76_RS01525,-1.034365658,3.377714613,0.000233678,0.000682384,
BJP76_RS12885,-1.035293568,3.698013402,0.008000898,0.016156531,
BJP76_RS14455,-1.035776056,3.606692409,0.062447725,0.099530421,
BJP76_RS07800,-1.036457717,8.602077987,0.00089844,0.002314202,
BJP76_RS20695,-1.037173405,4.440599719,4.61E-06,1.94E-05,
BJP76_RS00115,-1.037629775,7.437830595,1.15E-06,5.40E-06,
BJP76_RS03265,-1.038705349,6.387852728,3.13E-06,1.37E-05,
BJP76_RS12795,-1.03990158,6.558105818,3.20E-07,1.66E-06,
BJP76_RS02975,-1.04067114,5.430827479,1.28E-07,7.14E-07,
BJP76_RS11925,-1.042920474,5.071029313,0.004050013,0.008864062,
BJP76_RS15275,-1.043924664,6.678326924,0.002674113,0.006109298,
BJP76_RS16680,-1.045003439,4.00115362,0.003590739,0.007948271,
BJP76_RS15120,-1.04523732,7.200188625,0.016333111,0.030707971,
BJP76_RS23665,-1.045346115,6.467618365,0.009348068,0.018608624,
BJP76_RS23655,-1.045506713,4.732487236,2.44E-05,8.86E-05,
BJP76_RS09460,-1.046075442,6.189152565,5.38E-08,3.25E-07,
BJP76_RS20330,-1.04793574,4.853505282,1.61E-05,6.08E-05,
BJP76_RS03730,-1.049419296,4.038103324,6.40E-05,0.00021137,
BJP76_RS23275,-1.049582269,4.264257221,0.000184366,0.000550014,
BJP76_RS09360,-1.050394168,5.673403381,9.83E-08,5.62E-07,
BJP76_RS02260,-1.050790609,7.242949353,4.01E-05,0.000138495,
BJP76_RS12320,-1.051002107,5.257246143,4.88E-10,4.23E-09,
BJP76_RS03680,-1.051148968,4.733230364,0.013015934,0.024998301,
BJP76_RS11545,-1.051448816,5.171214371,1.28E-07,7.12E-07,
