"","cntrl1_4h","cntrl2_4h","cntrl3_4h","treat1_4h","treat2_4h","treat3_4h","cntrl1_24h","cntrl2_24h","cntrl3_24h","treat1_24h","treat2_24h","treat3_24h"
"Tcas000384",14,18,29,11,22,9,9,18,6,8,12,15
"Tcas001395",12,33,24,26,46,19,18,21,23,8,26,24
"Tcas000334",7,5,17,8,14,8,5,6,11,3,9,8
"Tcas001206",204,221,285,170,255,222,232,213,215,191,239,201
"Tcas001131",967,1635,1650,1051,1483,1197,959,1246,1369,1039,1479,1474
"Tcas000906",219,299,327,233,282,294,193,202,255,181,219,267
"Tcas001248",73,117,106,57,116,124,88,92,100,62,99,107
"Tcas001222",89,142,211,127,259,228,99,104,142,79,125,132
"Tcas000691",1008,1241,1264,1079,1041,1005,1278,1202,1215,996,1214,1124
"Tcas001562",291,372,389,265,377,355,274,278,366,231,265,305
"Tcas000173",263,374,393,303,294,196,240,323,293,204,286,314
"Tcas000269",210,278,263,228,240,266,235,224,259,178,221,223
"Tcas001303",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas000455",126,144,197,116,151,162,78,110,147,83,119,144
"Tcas000553",23,26,30,16,19,13,17,24,18,15,19,21
"Tcas001718",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas000522",131,144,192,126,128,111,111,115,86,137,146,151
"Tcas000159",27,4,18,74,1,11,21,12,10,3,1,1
"Tcas000241",524,387,299,628,3,664,864,468,145,133,100,23
"Tcas001108",1587,1172,843,2240,31,1204,3401,1956,734,1301,846,503
"Tcas001629",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas000891",12,2,3,9,1,5,27,15,6,3,1,1
"Tcas000776",9,4,4,10,1,6,73,24,2,2,1,1
"Tcas000199",93,87,40,129,8,93,190,107,66,15,20,76
"Tcas001671",108,127,69,63,50,63,131,63,58,69,22,29
"Tcas001242",3,12,6,5,1,3,2,4,18,1,6,0
"Tcas001412",16,25,9,22,8,16,36,31,16,43,48,21
"Tcas000660",13,32,27,14,31,20,5,14,12,2,6,20
"Tcas001634",196,163,144,236,35,138,363,212,88,103,85,36
"Tcas000184",1247,2341,2338,1082,2058,1690,1128,1691,1773,839,1188,1342
"Tcas000545",0,1,1,0,1,0,0,0,0,0,0,0
"Tcas001716",4,15,18,3,6,10,0,6,10,3,10,12
"Tcas001047",24,16,14,23,24,25,42,13,23,28,12,7
"Tcas000958",960,725,560,816,28,1122,1859,782,610,832,629,669
"Tcas001270",98,119,91,92,38,114,187,151,134,175,161,143
"Tcas000932",621,682,782,690,746,773,870,740,720,593,712,790
"Tcas000343",62,88,102,70,83,117,50,65,85,43,84,85
"Tcas000725",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas001527",7,8,21,7,10,12,6,20,26,13,15,32
"Tcas000872",88,118,143,105,107,112,115,109,115,84,95,98
"Tcas001344",196,452,351,374,285,258,477,416,444,202,324,268
"Tcas000216",9,4,6,4,29,32,0,1,14,0,20,27
"Tcas001418",0,0,0,0,0,0,0,0,0,1,0,1
"Tcas000944",134,159,195,160,485,392,90,76,187,65,103,90
