LOC124189105	GO:0032051,GO:0030130,GO:0005938,GO:0005198,GO:0030132,GO:0045334,GO:0006886,GO:0071439,GO:0006898
LOC124189121	GO:0005887,GO:0071805,GO:0030322,GO:0022841
LOC124189163	GO:0060088,GO:0060047,GO:0060087,GO:0080134,GO:0048678,GO:0043025,GO:0004784,GO:0006879,GO:0007605,GO:0005507,GO:0051881,GO:0098930,GO:0051087,GO:0005829,GO:0032287,GO:0030346,GO:0008270,GO:0045859,GO:0042542,GO:0005886,GO:0005634,GO:0045541,GO:0043085,GO:0019430,GO:0032839,GO:0032991,GO:0040014,GO:0046716,GO:0002262,GO:1902533,GO:0043524,GO:0045471,GO:0009408,GO:0007626,GO:0031410,GO:0019226,GO:0060052,GO:0007283,GO:0007569,GO:0008217,GO:0007566,GO:0001541,GO:0005777,GO:0001895,GO:0006749,GO:0005739,GO:0016021,GO:0001819,GO:0050665
LOC124197947	GO:0016021,GO:0008168,GO:0032259
LOC124197956	GO:0042393,GO:0034080,GO:0005654,GO:0006335
LOC124188988	GO:0005654,GO:0005761,GO:0032543
LOC124203529	GO:0016491
LOC124202742	GO:0005524,GO:0016459,GO:0003723,GO:0003724,GO:0005681,GO:0004674,GO:0006468,GO:0035556,GO:0003774
LOC124188525	GO:0005604,GO:0009887,GO:0009888,GO:0016477,GO:0034446
LOC124188569	GO:0016021,GO:0008168,GO:0032259
LOC124188536	GO:0005737,GO:0004454,GO:0006000,GO:0009744,GO:0009749,GO:0009750,GO:0010043,GO:0032868,GO:0046835,GO:0070873
LOC124188586	GO:0005576,GO:0016021,GO:0008061
LOC124198396	GO:0005576,GO:0008061
LOC124191400	GO:0005777,GO:0016021,GO:0000166,GO:0004540,GO:0004674,GO:0080019,GO:0102965,GO:0006629,GO:0016310,GO:0035336,GO:0090501
LOC124196475	GO:0005524,GO:0006468,GO:0004674
LOC124196465	GO:0005777,GO:0016021,GO:0000166,GO:0004540,GO:0004674,GO:0080019,GO:0102965,GO:0006629,GO:0016310,GO:0035336,GO:0090501
LOC124209171	GO:0005777,GO:0016021,GO:0000166,GO:0004540,GO:0004674,GO:0080019,GO:0102965,GO:0006629,GO:0016310,GO:0035336,GO:0090501
LOC124198048	GO:0090502,GO:0005524,GO:0036498,GO:0016021,GO:1990604,GO:0051082,GO:0006397,GO:0070059,GO:0004674,GO:0006468,GO:0106310,GO:0004521
LOC124198052	GO:0005777,GO:0043190,GO:0004521,GO:0004674,GO:0005524,GO:0080019,GO:0102965,GO:0106310,GO:0006397,GO:0006468,GO:0006629,GO:0030968,GO:0035336,GO:0055085,GO:0090502
LOC124198063	GO:0005777,GO:0016021,GO:0080019,GO:0102965,GO:0006629,GO:0035336
LOC124198817	GO:0016021
LOC124200646	GO:0005654,GO:0005829,GO:0005515,GO:0007009,GO:0030838,GO:0051017,GO:0051764,GO:2000251
LOC124200656	GO:0007271,GO:0060079,GO:0046716,GO:0006812,GO:0004888,GO:0045211,GO:0017085,GO:0022848,GO:0034220,GO:0005892,GO:0043005
LOC124188709	GO:0005887,GO:0060079,GO:0004888,GO:0045211,GO:0022848,GO:0034220,GO:0043005
LOC124201951	GO:0005887,GO:0060079,GO:0004888,GO:0045211,GO:0022848,GO:0034220,GO:0043005
LOC124197914	GO:0005515
LOC124208760	GO:0032589,GO:0050808
LOC124208109	GO:0005777,GO:0016020,GO:0080019,GO:0102965,GO:0006629,GO:0035336
LOC124192599	GO:0005887,GO:0008271,GO:0015301,GO:1902358
LOC124192517	GO:0005887,GO:0008271,GO:0015301,GO:0005216,GO:1902358
LOC124188955	GO:0005887,GO:0008271,GO:0015301,GO:0005216,GO:1902358
