gene,color,number
Tcas000630,blue,2
Tcas000392,blue,2
Tcas001205,blue,2
Tcas000344,blue,2
Tcas001084,blue,2
Tcas001157,blue,2
Tcas000580,blue,2
Tcas000948,blue,2
Tcas000255,blue,2
Tcas001214,blue,2
Tcas001227,blue,2
Tcas000781,blue,2
Tcas000232,blue,2
Tcas001410,blue,2
Tcas001046,blue,2
Tcas000179,blue,2
Tcas001249,blue,2
Tcas001112,blue,2
Tcas001021,blue,2
Tcas001645,blue,2
Tcas000678,blue,2
Tcas000747,blue,2
Tcas000959,blue,2
Tcas001341,blue,2
Tcas001064,blue,2
Tcas000557,blue,2
Tcas001464,blue,2
Tcas001568,blue,2
Tcas001215,blue,2
Tcas001199,blue,2
Tcas001093,blue,2
Tcas000277,blue,2
Tcas001477,blue,2
Tcas001576,blue,2
Tcas001654,blue,2
Tcas001495,blue,2
Tcas000792,blue,2
Tcas000745,blue,2
Tcas000273,blue,2
Tcas001180,blue,2
Tcas000975,blue,2
Tcas000297,blue,2
Tcas000197,blue,2
Tcas001018,blue,2
Tcas000640,blue,2
Tcas001448,blue,2
Tcas000408,blue,2
Tcas001252,blue,2
Tcas000680,blue,2
Tcas000752,blue,2
Tcas000480,blue,2
Tcas001347,blue,2
Tcas001734,blue,2
Tcas001017,blue,2
Tcas001649,blue,2
Tcas000835,blue,2
Tcas001551,blue,2
Tcas000710,blue,2
Tcas001354,blue,2
Tcas001113,blue,2
Tcas001212,blue,2
Tcas001358,blue,2
Tcas000313,blue,2
Tcas000327,blue,2
Tcas000862,blue,2
Tcas001728,blue,2
Tcas001733,blue,2
Tcas001096,blue,2
Tcas000332,blue,2
Tcas000526,blue,2
Tcas000702,blue,2
Tcas001626,blue,2
Tcas001559,blue,2
Tcas000421,blue,2
Tcas001526,blue,2
Tcas000418,blue,2
Tcas001236,blue,2
Tcas000789,blue,2
Tcas000613,blue,2
Tcas000223,blue,2
Tcas001679,blue,2
Tcas001467,blue,2
Tcas001038,blue,2
Tcas000991,blue,2
Tcas001564,blue,2
Tcas000743,blue,2
Tcas000641,blue,2
Tcas000404,blue,2
Tcas000873,blue,2
Tcas000633,blue,2
Tcas000992,blue,2
Tcas000134,blue,2
Tcas001139,blue,2
Tcas000524,blue,2
Tcas000665,blue,2
Tcas000413,blue,2
Tcas000485,blue,2
Tcas001327,blue,2
Tcas000468,blue,2
Tcas001408,blue,2
Tcas000727,blue,2
Tcas000395,blue,2
Tcas001338,blue,2
Tcas000895,blue,2
Tcas000142,blue,2
Tcas001319,blue,2
Tcas001376,blue,2
Tcas000981,blue,2
Tcas000494,blue,2
Tcas000486,blue,2
Tcas001466,blue,2
Tcas000931,blue,2
Tcas001107,blue,2
Tcas000270,blue,2
Tcas000748,blue,2
Tcas000836,blue,2
Tcas000156,blue,2
Tcas000713,blue,2
Tcas000319,blue,2
Tcas000910,blue,2
Tcas001218,blue,2
Tcas001123,blue,2
Tcas001523,blue,2
Tcas001394,blue,2
Tcas000952,blue,2
Tcas001453,blue,2
Tcas001373,blue,2
Tcas000569,blue,2
Tcas000540,blue,2
Tcas001320,blue,2
Tcas001628,blue,2
Tcas001345,blue,2
Tcas001574,blue,2
Tcas000230,blue,2
Tcas000253,blue,2
Tcas000661,blue,2
Tcas000857,blue,2
Tcas000599,blue,2
Tcas000488,blue,2
Tcas000476,blue,2
Tcas001184,blue,2
Tcas000642,blue,2
Tcas000957,blue,2
Tcas001655,blue,2
Tcas001294,blue,2
Tcas001548,blue,2
Tcas001351,blue,2
Tcas001132,blue,2
Tcas001696,blue,2
Tcas001553,blue,2
Tcas001104,blue,2
Tcas000358,blue,2
Tcas001608,blue,2
Tcas000611,blue,2
Tcas000670,blue,2
Tcas001343,blue,2
Tcas000610,blue,2
Tcas000658,blue,2
Tcas001311,blue,2
Tcas000754,blue,2
Tcas000341,blue,2
Tcas000786,blue,2
Tcas000798,blue,2
Tcas001310,blue,2
Tcas000753,blue,2
Tcas001101,blue,2
Tcas001557,blue,2
Tcas001237,blue,2
Tcas001703,blue,2
